component,pce_line,q2_2026_current_dollar_millions,approx_core_pce_weight_pct,jul_2026_mom_pct,aug_2026_mom_pct,bridge_status,observation_basis
Physician services,174,872798,4.442533,-0.1,0.1,OBSERVED,BLS Table 2 physician care
Home health care,177,221305,1.126440,0.1,-0.4,OBSERVED,BLS Table 2 home health and hospice care
Medical laboratories / diagnostic imaging,178,55525,0.282622,0.0,0.0,OBSERVED,BLS Table 2 medical laboratory and diagnostic imaging care
Hospitals (nonprofit + proprietary + government),184-186,1704847,8.677654,-0.0008,0.6232,OBSERVED,BLS PPI Hospitals aggregate PCU622---622---
Nursing homes (nonprofit + proprietary/government),188-189,285400,1.452683,0.2,-0.2,OBSERVED,BLS Table 2 nursing home care
Air transportation,207,229110,1.166168,-3.1,4.2,OBSERVED,BLS Table 2 airline passenger services
Securities commission / brokerage components,262-267,48084,0.244747,-0.9,-0.1,OBSERVED,BLS Table 2 securities brokerage/dealing/investment advice and related services
Portfolio management,268,382346,1.946137,6.2,-1.6,OBSERVED,BLS Table 2 portfolio management
Medical care & hospitalization insurance,276,259981,1.323301,0.2,0.2,OBSERVED,BLS Table 2 health and medical insurance
Standard clothing issued to military personnel,111,453,0.002306,,,UNRESOLVED,Exact source move not mapped in release bridge
Trust fiduciary and custody activities,269,26195,0.133333,,,UNRESOLVED,Exact commercial-bank trust-services move not mapped in release bridge
Net household insurance,272,20707,0.105398,,,UNRESOLVED,Exact homeowner-insurance move not mapped in release bridge
Workers compensation,278,35610,0.181254,,,UNRESOLVED,Exact workers-compensation insurance move not mapped in release bridge
Net motor vehicle and other transportation insurance,279,110945,0.564709,,,UNRESOLVED,Exact private-passenger-auto-insurance move not mapped in release bridge
Employment agency services,302,1672,0.008511,,,UNRESOLVED,Exact employment-placement-services move not mapped in release bridge
